#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  CfA34_FLWO
@BAND  CfA3_KC_i'_1
@MAGSYS  Linear_AB11_off
54172.44781  17.907  0.04597358724311167
54172.46545  17.902  0.049391864755240836
54173.48966  17.896  0.04685705513580641
54186.45836  18.446  0.10104649868253728
54187.49932  18.603  0.08250755119381502
54193.44334  18.515  0.07202374677840638
54193.48523  18.614  0.0827867101411815
54201.42361  18.462  0.06771113101994382
54207.44548  18.46  0.06820622845459205
54208.41116  18.576  0.0798399715430811
54209.45289  18.627  0.07459579829990423
54220.3991  19.049  0.13931636061855762
54227.43809  19.532  0.19393545317965977
54244.32249  20.081  0.1864949310195856
